PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Naevdal, E; Olaussen, JO; Skonhoft, A				Naevdal, Eric; Olaussen, Jon Olaf; Skonhoft, Anders			A bioeconomic model of trophy hunting	ECOLOGICAL ECONOMICS												During the last few decades wildlife trophy hunting has increasingly replaced traditional meat hunting. The economics of trophy hunting is analyzed with the Scandinavian moose (Alces alces) serving as an example. A four-stage model (calf, yearlings, adult female and adult male) is formulated. The calves, yearlings, and females are hunted for meat, while the males are hunted for trophies and where the demand for trophy hunting depends on price and quality. We find that trophy hunting boosts the male population and yields a high ratio of males to females. The main reason for this result is that we consider a management scheme with well defined property rights and not of the 'open-access' type, and where the key mechanism is the quality demand effect in trophy hunting. In an extended model where ecological theory of animal adoption to hunting is assumed to influence the biology through fertility we still find that trophy hunting boosts the male stock. (C) 2011 Elsevier B.V. All rights reserved.																			0921-8009	1873-6106				JAN 15	2012	73						194	205		10.1016/j.ecolecon.2011.10.026	http://dx.doi.org/10.1016/j.ecolecon.2011.10.026													WOS:000299760800022
J	Heffelfinger, JR				Heffelfinger, James R.			Inefficiency of evolutionarily relevant selection in ungulate trophy hunting	JOURNAL OF WILDLIFE MANAGEMENT												Differentially harvesting individual animals with specific traits has led some to argue that such selection can cause evolutionary change that may be detrimental to the species, especially if those traits are related positively to individual fitness. Most hunters are not selective in the type of animal they take, satisfied instead to harvest any legal animal. In a few exceptions, however, regulations may limit hunters to harvest animals of a minimum size or age regardless of their personal choice. Using information from a broad range of aquatic and terrestrial systems exposed to a myriad of potential and operational selective pressures, several authors have made expansive generalizations about selective harvest and its applicability to ungulates. Harvest-based selection can potentially be intensive enough to be relevant in an evolutionary sense, but phenotypic changes consistent with hunter selection are otherwise confounded with multiple environmental influences. Factors such as age, genetic contribution of females, nutrition, maternal effects, epigenetics, patterns of mating success, gene linkage, gene flow, refugia, date of birth, and other factors affecting selection interact with harvest to impede unidirectional evolution of a trait. The intensity of selection determines potential for evolutionary change in a meaningful temporal framework. Indeed, only under severe intensity, and strict selection on a trait, could human harvest prompt evolutionary changes in that trait. Broad generalizations across populations or ecological systems can yield erroneous extrapolations and inappropriate assumptions. Removal of males expressing a variety of horn or antler sizes, including some very large males, does not inevitably represent directional artificial selection unless the selective pressures are intensive enough to cause a unidirectional shift in allele frequencies that may act on some relevant life-history trait or process. Here I review the topic of harvest-based selection in male ungulates and discuss the inefficiency of trophy hunting in changing genetic expression of phenotype. (c) 2017 The Wildlife Society. Removal of males expressing a variety of horn and antler sizes, including some very large males, does not inevitably represent directional artificial selection unless the selective pressures are intensive enough to cause a unidirectional shift in phenotype or allele frequencies that may act on some relevant life-history trait or process. Restraint should be exercised in calling for management changes by extrapolating from relatively unique and isolated populations, single genera, or uncommon harvest paradigms to more diverse units of conservation.																			0022-541X	1937-2817				JAN	2018	82	1			SI		57	66		10.1002/jwmg.21337	http://dx.doi.org/10.1002/jwmg.21337													WOS:000417629600006
J	Palazy, L; Bonenfant, C; Gaillard, JM; Courchamp, F				Palazy, L.; Bonenfant, C.; Gaillard, J. M.; Courchamp, F.			Rarity, trophy hunting and ungulates	ANIMAL CONSERVATION												The size and shape of a trophy constitute major determinants of its value. We postulate that the rarity of a species, whatever its causes, also plays a major role in determining its value among hunters. We investigated a role for an Anthropogenic Allee effect in trophy hunting, where human attraction to rarity could lead to an over-exploitative chain reaction that could eventually drive the targeted species to extinction. We performed an inter-specific analysis of trophy prices of 202 ungulate taxa and quantified to what extent morphological characteristics and their rarity accounted for the observed variation in their price. We found that once location and body mass were accounted for, trophies of rare species attain higher prices than those of more common species. By driving trophy price increase, this rarity effect may encourage the exploitation of rare species regardless of their availability, with potentially profound consequences for populations.					Courchamp, Franck/ABE-7204-2020; Bonenfant, Christophe/I-8645-2019	Courchamp, Franck/0000-0001-7605-4548; Bonenfant, Christophe/0000-0002-9924-419X													1367-9430	1469-1795				FEB	2012	15	1					4	11		10.1111/j.1469-1795.2011.00476.x	http://dx.doi.org/10.1111/j.1469-1795.2011.00476.x													WOS:000300664800002
J	Coulson, T; Schindler, S; Traill, L; Kendall, BE				Coulson, Tim; Schindler, Susanne; Traill, Lochran; Kendall, Bruce E.			Predicting the evolutionary consequences of trophy hunting on a quantitative trait	JOURNAL OF WILDLIFE MANAGEMENT												Some ecologists suggest that trophy hunting (e.g., harvesting males with a desirable trait above a certain size) can lead to rapid phenotypic change, which has led to an ongoing discussion about evolutionary consequences of trophy hunting. Claims of rapid evolution come from the statistical analyses of data, with no examination of whether these results are theoretically plausible. We constructed simple quantitative genetic models to explore how a range of hunting scenarios affects the evolution of a trophy such as horn length. We show that trophy hunting does lead to trophy evolution defined as change in the mean breeding value of the trait. However, the fastest rates of phenotypic change attributable to trophy hunting via evolution that are theoretically possible under standard assumptions of quantitative genetics are 1-2 orders of magnitude slower than the fastest rates of phenotypic change reported from statistical analyses. Our work suggests a re-evaluation of the likely evolutionary consequences of trophy hunting would be appropriate when setting policy. Our work does not consider the ethical or ecological consequences of trophy hunting. (c) 2017 The Wildlife Society. We show that the widely cited results claiming rapid evolution of trophy size in bighorn sheep in response to selective trophy hunting are theoretically impossible given standard assumptions of quantitative genetics.					Traill, Lochran W/J-8459-2012; Kendall, Bruce/C-1871-2008; Coulson, Tim/AAL-8148-2021	Traill, Lochran W/0000-0001-5704-108X; Kendall, Bruce/0000-0003-1782-8106; Schindler, Susanne/0000-0001-7787-7642													0022-541X	1937-2817				JAN	2018	82	1			SI		46	56		10.1002/jwmg.21261	http://dx.doi.org/10.1002/jwmg.21261													WOS:000417629600005
J	Coltman, DW; O'Donoghue, P; Jorgenson, JT; Hogg, JT; Strobeck, C; Festa-Bianchet, M				Coltman, DW; O'Donoghue, P; Jorgenson, JT; Hogg, JT; Strobeck, C; Festa-Bianchet, M			Undesirable evolutionary consequences of trophy hunting	NATURE												Phenotype- based selective harvests, including trophy hunting, can have important implications for sustainable wildlife management if they target heritable traits(1 - 3). Here we show that in an evolutionary response to sport hunting of bighorn trophy rams ( Ovis canadensis) body weight and horn size have declined significantly over time. We used quantitative genetic analyses, based on a partly genetically reconstructed pedigree from a 30- year study of a wild population in which trophy hunting targeted rams with rapidly growing horns(4), to explore the evolutionary response to hunter selection on ram weight and horn size. Both traits were highly heritable, and trophy- harvested rams were of significantly higher genetic ' breeding value' for weight and horn size than rams that were not harvested. Rams of high breeding value were also shot at an early age, and thus did not achieve high reproductive success(5). Declines in mean breeding values for weight and horn size therefore occurred in response to unrestricted trophy hunting, resulting in the production of smaller- horned, lighter rams, and fewer trophies.					Coltman, David/A-4453-2012; Festa-Bianchet, Marco/AER-0364-2022; Strobeck, Curtis/E-9998-2011	Coltman, David/0000-0002-1268-2307; Festa-Bianchet, Marco/0000-0002-2352-3379; 													0028-0836					DEC 11	2003	426	6967					655	658		10.1038/nature02177	http://dx.doi.org/10.1038/nature02177								14668862					WOS:000187132800039
J	Whitman, KL; Starfield, AM; Quadling, H; Packer, C				Whitman, Karyl L.; Starfield, Anthony M.; Quadling, Henley; Packer, Craig			Modeling the effects of trophy selection and environmental disturbance on a simulated population of African lions	CONSERVATION BIOLOGY					Symposium on the Contribution of Long-Term Studies to Conservation	DEC, 2003	TANZANIA	Tanzania Wildlife Res Inst				Tanzania is a premier destination for trophy hunting of African lions (Panthera leo) and is home to the most extensive long-term study of unhunted lions. Thus, it provides a unique opportunity to apply data from a long-term field study to a conservation dilemma: How can a trophy-hunted species whose reproductive success is closely tied to social stability be harvested sustainably? We used an individually based, spatially explicit, stochastic model, parameterized with nearly 40 years of behavioral and demographic data on lions in the Serengeti, to examine the separate effects of trophy selection and environmental disturbance on the viability of a simulated lion population in response to annual harvesting. Female population size was sensitive to the harvesting of young males (>= 3 years), whereas hunting represented a relatively trivial threat to population viability when the harvest was restricted to mature males (> 6years). Overall model performance was robust to environmental disturbance and to errors in age assessment based on nose coloration as an index used to age potential trophies. Introducing an environmental disturbance did not eliminate the capacity to maintain a viable breeding population when harvesting only older males, and initially depleted populations recovered within 15-25 years after the disturbance to levels comparable to hunted populations that did not experience a catastrophic event. These results are consistent with empirical observations of lion resilience to environmental stochasticity.																			0888-8892	1523-1739				JUN	2007	21	3					591	601		10.1111/j.1523-1739.2007.00700.x	http://dx.doi.org/10.1111/j.1523-1739.2007.00700.x								17531038					WOS:000246843200006
J	Deakin, S; Festa-Bianchet, M; Miller, JM; Pelletier, F; Coltman, DW				Deakin, Samuel; Festa-Bianchet, Marco; Miller, Joshua M.; Pelletier, Fanie; Coltman, David W.			Ewe are what ewe wear: bigger horns, better ewes and the potential consequence of trophy hunting on female fitness in bighorn sheep	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES												In polygynous species, secondary sexual traits such as weapons or elaborate ornaments have evolved through intrasexual competition for mates. In some species, these traits are present in both sexes but are underdeveloped in the sex facing lower intrasexual competition for mates. It is often assumed that these underdeveloped sexually selected traits are a vestige of strong sexual selection on the other sex. Here, we challenge this assumption and investigate whether the expression of secondary sexual traits is associated with fitness in female bighorn sheep. Analyses of 45 years of data revealed that female horn length at 2 years, while accounting for mass and environmental variables, is associated with younger age at primiparity, younger age of first offspring weaned, greater reproductive lifespan and higher lifetime reproductive success. There was no association between horn length and fecundity. These findings highlight a potential conservation issue. In this population, trophy hunting selects against males with fast-growing horns. Intersexual genetic correlations imply that intense selective hunting of large-horned males before they can reproduce can decrease female horn size. Therefore, intense trophy hunting of males based on horn size could reduce female reproductive performance through the associations identified here, and ultimately reduce population growth and viability.					; Coltman, David/HZL-7279-2023; Festa-Bianchet, Marco/AER-0364-2022; Miller, Joshua/E-3072-2013	Pelletier, Fanie/0000-0002-0113-5412; Deakin, Samuel/0000-0003-4227-8767; Coltman, David/0000-0002-1268-2307; Miller, Joshua/0000-0002-4019-7675													0962-8452	1471-2954				MAR 30	2022	289	1971							20212534	10.1098/rspb.2021.2534	http://dx.doi.org/10.1098/rspb.2021.2534								35317671					WOS:000784192600006
J	Büntgen, U; Galván, JD; Mysterud, A; Krusic, PJ; Hülsmann, L; Jenny, H; Senn, J; Bollmann, K				Buntgen, Ulf; Galvan, Juan D.; Mysterud, Atle; Krusic, Paul J.; Hulsmann, Lisa; Jenny, Hannes; Senn, Josef; Bollmann, Kurt			Horn growth variation and hunting selection of the Alpine ibex	JOURNAL OF ANIMAL ECOLOGY												1. Selective hunting can affect demographic characteristics and phenotypic traits of the targeted species. Hunting systems often involve harvesting quotas based on sex, age and/or size categories to avoid selective pressure. However, it is difficult to assess whether such regulations deter hunters from targeting larger "trophy" animals with longer horns that may have evolutionary consequences. 2. Here, we compile 44,088 annually resolved and absolutely dated measurements of Alpine ibex (Capra ibex) horn growth increments from 8,355 males, harvested between 1978 and 2013, in the eastern Swiss Canton of Grisons. We aim to determine whether male ibex with longer horns were preferentially targeted, causing animals with early rapid horn growth to have shorter lives, and whether such hunting selection translated into long-term trends in horn size over the past four decades. 3. Results show that medium-to longer-horned adult males had a higher probability of being harvested than shorter-horned individuals of the same age and that regulations do affect the hunters' behaviour. Nevertheless, phenotypic traits such as horn length, as well as body size and weight, remained stable over the study period. 4. Although selective trophy hunting still occurs, it did not cause a measurable evolutionary response in Grisons' Alpine ibex populations; managed and surveyed since 1978. Nevertheless, further research is needed to understand whether phenotypic trait development is coinfluenced by other, potentially compensatory factors that may possibly mask the effects of selective, long-term hunting pressure.					buentgen, ulf/J-6952-2013; Hülsmann, Lisa/B-6680-2017; Mysterud, Atle/AFL-1958-2022	Senn, Josef/0000-0002-7626-1843; Hülsmann, Lisa/0000-0003-4252-2715; Bollmann, Kurt/0000-0002-4690-7121; Mysterud, Atle/0000-0001-8993-7382													0021-8790	1365-2656				JUL	2018	87	4			SI		1069	1079		10.1111/1365-2656.12839	http://dx.doi.org/10.1111/1365-2656.12839								29676473					WOS:000435940700015
J	Mysterud, A; Bischof, R				Mysterud, Atle; Bischof, Richard			Can compensatory culling offset undesirable evolutionary consequences of trophy hunting?	JOURNAL OF ANIMAL ECOLOGY												P> There is growing concern about the evolutionary consequences of human harvesting on phenotypic trait quality in wild populations. Undesirable consequences are especially likely with trophy hunting because of its strong bias for specific phenotypic trait values, such as large antlers in cervids and horns in bovids. Selective hunting can cause a decline in a trophy trait over time if it is heritable, thereby reducing the long-term sustainability of the activity itself. How can we build a sustainable trophy hunting tradition without the negative trait-altering effects? We used an individual-based model to explore whether selective compensatory culling of 'low quality' individuals at an early life stage can facilitate sustainability, as suggested by information from managed game populations in eastern and central Europe. Our model was rooted in empirical data on red deer, where heritability of sexual ornaments has been confirmed and phenotypic quality can be assessed by antler size in individuals as young as 1 year. Simulations showed that targeted culling of low-quality yearlings could counter the selective effects of trophy hunting on the distribution of the affected trait (e.g. antler or horn size) in prime-aged individuals. Assumptions of trait heritability and young-to-adult correlation were essential for compensation, but the model proved robust to various other assumptions and changes to input parameters. The simulation approach allowed us to verify responses as evolutionary changes in trait values rather than short-term consequences of altered age structure, density and viability selection. We conclude that evolutionarily enlightened management may accommodate trophy hunting. This has far reaching implications as income from trophy hunting is often channelled into local conservation efforts and rural economies. As an essential follow-up, we recommend an analysis of the effects of trophy hunting in conjunction with compensatory culling on the phenotypic and underlying genetic variance of the trophy trait.					Bischof, Richard/M-4153-2013; Mysterud, Atle/AFL-1958-2022	Bischof, Richard/0000-0002-1267-9183; Mysterud, Atle/0000-0001-8993-7382													0021-8790	1365-2656				JAN	2010	79	1					148	160		10.1111/j.1365-2656.2009.01621.x	http://dx.doi.org/10.1111/j.1365-2656.2009.01621.x								19840171					WOS:000272656600017
J	Packer, C; Brink, H; Kissui, BM; Maliti, H; Kushnir, H; Caro, T				Packer, C.; Brink, H.; Kissui, B. M.; Maliti, H.; Kushnir, H.; Caro, T.			Effects of Trophy Hunting on Lion and Leopard Populations in Tanzania	CONSERVATION BIOLOGY												Tanzania holds most of the remaining large populations of African lions (Panthera leo) and has extensive areas of leopard habitat (Panthera pardus), and both species are subjected to sizable harvests by sport hunters. As a first step toward establishing sustainable management strategies, we analyzed harvest trends for lions and leopards across Tanzania's 300,000 km2 of hunting blocks. We summarize lion population trends in protected areas where lion abundance has been directly measured and data on the frequency of lion attacks on humans in high-conflict agricultural areas. We place these findings in context of the rapidly growing human population in rural Tanzania and the concomitant effects of habitat loss, human-wildlife conflict, and cultural practices. Lion harvests declined by 50% across Tanzania between 1996 and 2008, and hunting areas with the highest initial harvests suffered the steepest declines. Although each part of the country is subject to some form of anthropogenic impact from local people, the intensity of trophy hunting was the only significant factor in a statistical analysis of lion harvest trends. Although leopard harvests were more stable, regions outside the Selous Game Reserve with the highest initial leopard harvests again showed the steepest declines. Our quantitative analyses suggest that annual hunting quotas be limited to 0.5 lions and 1.0 leopard/1000 km2 of hunting area, except hunting blocks in the Selous Game Reserve, where harvests should be limited to 1.0 lion and 3.0 leopards/1000 km2.																			0888-8892					FEB	2011	25	1					142	153		10.1111/j.1523-1739.2010.01576.x	http://dx.doi.org/10.1111/j.1523-1739.2010.01576.x								20825444					WOS:000286380500017
